Time - milli sec,Voltage,Current,Remained Battery - Arbitrary,Consumed Current,Lidar Distance - in mm,Throttle,PWM Value
1418,0,0,0,0,0,0,0
1438,16.13,0.24,100,0,479,328,335
1523,16.13,0.24,100,0,485,328,335
1619,16.16,0.59,100,0,486,328,335
1713,16.13,0.12,100,0,490,328,335
1808,16.13,0.12,100,0,486,328,335
1903,16.15,0.12,100,0,487,328,335
1998,16.15,0.59,100,0,489,1101,1127
2093,16.15,0.59,100,0,488,1101,1127
2188,16.13,0.12,100,0,488,1101,1127
2283,16.15,0.71,100,0,488,1101,1127
2377,16.15,0.59,100,0,488,1101,1127
2472,16.15,0.12,100,0,488,1101,1127
2567,16.15,0.12,100,0.01,486,1101,1127
2662,16.15,0.24,100,0.01,487,1101,1127
2757,16.15,0.24,100,0.01,488,1101,1127
2852,16.16,0.59,100,0.01,488,1101,1127
2947,16.11,0.24,100,0.01,488,1101,1127
3042,16.15,0.47,100,0.01,487,1101,1127
3137,16.11,0.12,100,0.01,487,1101,1127
3232,16.15,0.71,100,0.01,488,1101,1127
3326,16.15,0.24,100,0.01,488,1101,1127
3421,16.15,0.24,100,0.01,488,1101,1127
3516,16.1,0.12,100,0.01,488,1101,1127
3611,16.11,0.12,100,0.01,490,1101,1127
3706,16.15,0.35,100,0.01,490,1101,1127
3801,16.11,0.71,100,0.01,489,1216,1244
3896,16.15,0.12,100,0.01,488,1217,1245
3991,15.84,6.82,100,0.02,489,1224,1253
4086,15.96,5.64,100,0.02,488,1227,1256
4181,15.7,5.76,100,0.03,490,1225,1254
4276,15.89,4.58,100,0.04,489,1222,1251
4371,15.99,4,100,0.04,486,1221,1249
4465,16.03,4.23,100,0.04,489,1229,1258
4560,16.03,4.94,100,0.05,489,1236,1265
4655,15.7,6.46,100,0.06,488,1238,1267
4750,16.01,5.17,100,0.06,488,1239,1268
4845,15.67,5.05,99.99,0.07,489,1239,1268
4940,15.8,4.94,99.99,0.07,489,1243,1272
5035,15.98,5.52,99.99,0.08,488,1248,1277
5130,15.94,6.93,99.99,0.09,485,1248,1277
5225,15.63,6.7,99.99,0.1,489,1248,1277
5320,15.67,7.64,99.99,0.1,490,1248,1277
5414,15.82,5.76,99.99,0.11,487,1251,1280
5509,15.91,5.41,99.99,0.12,489,1255,1284
5604,16.06,7.05,99.99,0.12,490,1259,1288
5699,15.86,7.64,99.99,0.13,488,1259,1288
5794,15.87,7.64,99.99,0.14,489,1259,1288
5889,15.91,6.58,99.99,0.15,491,1259,1288
5984,15.8,6.58,99.99,0.16,489,1260,1289
6079,15.38,7.87,99.99,0.16,490,1260,1289
6174,15.82,7.52,99.99,0.17,488,1263,1292
6268,15.91,5.99,99.99,0.18,492,1267,1297
6363,15.7,8.23,99.99,0.19,490,1268,1298
6458,15.74,7.76,99.98,0.2,490,1269,1299
6553,15.58,7.52,99.98,0.21,491,1273,1303
6648,15.82,8.93,99.98,0.22,488,1278,1308
6743,15.87,8.58,99.98,0.22,488,1278,1308
6838,15.98,7.17,99.98,0.23,490,1278,1308
6933,15.87,8.34,99.98,0.24,490,1280,1310
7028,15.96,9.17,99.98,0.25,490,1284,1314
7123,15.8,9.64,99.98,0.26,488,1285,1315
7218,15.31,11.16,99.98,0.28,490,1289,1319
7312,15.55,11.4,99.98,0.29,491,1294,1324
7407,15.62,10.46,99.98,0.3,490,1296,1326
7502,15.94,10.93,99.98,0.31,489,1296,1326
7597,15.58,9.75,99.98,0.32,490,1298,1328
7692,15.44,10.34,99.97,0.33,490,1298,1328
7787,15.65,9.05,99.97,0.34,490,1298,1328
7881,15.03,11.87,99.97,0.36,491,1301,1331
7976,15.39,11.99,99.97,0.37,498,1304,1334
8071,15.7,11.05,99.97,0.38,504,1305,1335
8166,15.6,11.52,99.97,0.4,517,1304,1334
8261,15.62,11.75,99.97,0.41,529,1304,1334
8356,15.2,11.99,99.97,0.42,548,1282,1312
8451,15.63,8.7,99.97,0.43,571,1282,1312
8546,15.77,9.05,99.97,0.44,583,1296,1326
8641,15.55,11.99,99.96,0.46,591,1300,1330
8736,15.6,10.81,99.96,0.47,596,1300,1330
8830,15.96,11.4,99.96,0.48,602,1300,1330
8926,15.38,11.63,99.96,0.49,610,1301,1331
9020,15.43,14.1,99.96,0.51,618,1301,1331
9115,15.22,11.52,99.96,0.52,625,1284,1314
9210,15.7,8.46,99.96,0.53,621,1277,1307
9305,15.94,9.75,99.96,0.54,619,1277,1307
9400,15.39,8.7,99.96,0.55,612,1289,1319
9495,15.46,10.46,99.96,0.56,601,1291,1321
9590,15.12,13.4,99.96,0.58,592,1292,1322
9685,15.84,10.58,99.95,0.59,583,1292,1322
9780,15.99,8.46,99.95,0.6,579,1292,1322
9875,15.75,9.64,99.95,0.61,581,1292,1322
9969,15.8,9.17,99.95,0.62,586,1292,1322
10065,15.7,10.46,99.95,0.63,585,1292,1322
10159,15.44,11.63,99.95,0.64,588,1280,1310
10255,15.84,8.34,99.95,0.65,591,1277,1307
