timestamp,front_right,back_right,front_left,back_left
1752496867628442457,2176.0,2203.0,2191.0,2165.0
1752496867646846957,2173.0,2214.0,2178.0,2170.0
1752496867669040290,2162.0,2206.0,2162.0,2158.0
1752496867703741749,2153.0,2203.0,2165.0,2168.0
1752496867710843790,2155.0,2203.0,2157.0,2175.0
1752496867732918790,2137.0,2194.0,2144.0,2167.0
1752496867751519582,2137.0,2186.0,2157.0,2163.0
1752496867772338540,2131.0,2188.0,2149.0,2170.0
1752496867794754748,2139.0,2190.0,2149.0,2160.0
1752496867818794748,2144.0,2181.0,2153.0,2158.0
1752496867840613415,2144.0,2186.0,2150.0,2157.0
1752496867860724832,2149.0,2186.0,2149.0,2153.0
1752496867881809374,2145.0,2183.0,2155.0,2153.0
1752496867903895082,2152.0,2190.0,2150.0,2147.0
1752496867928999457,2147.0,2193.0,2149.0,2149.0
1752496867945735540,2158.0,2206.0,2132.0,2140.0
1752496867968815624,2145.0,2196.0,2142.0,2152.0
1752496867988570998,2149.0,2193.0,2147.0,2149.0
1752496868009564582,2142.0,2185.0,2155.0,2153.0
1752496868032036623,2142.0,2190.0,2155.0,2157.0
1752496868053588748,2144.0,2178.0,2165.0,2157.0
1752496868072858540,2139.0,2183.0,2165.0,2158.0
1752496868095146832,2134.0,2191.0,2157.0,2162.0
1752496868223490040,2144.0,2194.0,2147.0,2157.0
1752496868227276832,2147.0,2196.0,2144.0,2155.0
1752496868231225207,2149.0,2196.0,2145.0,2152.0
1752496868231870248,2149.0,2196.0,2145.0,2153.0
1752496868234381957,2134.0,2191.0,2153.0,2165.0
1752496868240427707,2134.0,2188.0,2157.0,2167.0
1752496868245948957,2142.0,2188.0,2157.0,2157.0
1752496868265839165,2139.0,2191.0,2152.0,2162.0
1752496868284203665,2139.0,2193.0,2153.0,2158.0
1752496868305325957,2139.0,2188.0,2158.0,2158.0
1752496868352278082,2155.0,2183.0,2165.0,2140.0
1752496868353796582,2155.0,2185.0,2165.0,2152.0
1752496868371397790,2158.0,2196.0,2173.0,2173.0
1752496868391904290,2142.0,2198.0,2176.0,2188.0
1752496868415146082,2160.0,2186.0,2183.0,2175.0
1752496868436154790,2158.0,2203.0,2167.0,2181.0
1752496868458523332,2155.0,2221.0,2160.0,2188.0
1752496868482744957,2168.0,2230.0,2150.0,2175.0
1752496868500481748,2168.0,2229.0,2155.0,2170.0
1752496868520606207,2163.0,2235.0,2157.0,2180.0
1752496868542214332,2137.0,2237.0,2153.0,2194.0
1752496868564482498,2139.0,2227.0,2167.0,2190.0
1752496868584952415,2140.0,2211.0,2183.0,2186.0
1752496868605768457,2145.0,2194.0,2190.0,2180.0
1752496868647152665,2144.0,2188.0,2175.0,2165.0
1752496868650628373,2149.0,2193.0,2170.0,2157.0
1752496868670878665,2173.0,2178.0,2150.0,2170.0
1752496868690070790,2171.0,2188.0,2147.0,2163.0
1752496868713643040,2158.0,2194.0,2145.0,2171.0
1752496868733398582,2147.0,2214.0,2127.0,2181.0
1752496868756781082,2145.0,2208.0,2135.0,2181.0
1752496868776560873,2162.0,2190.0,2157.0,2162.0
1752496868796008665,2157.0,2186.0,2165.0,2162.0
1752496868816956457,2140.0,2173.0,2163.0,2158.0
1752496868847064832,2149.0,2170.0,2167.0,2152.0
1752496868860431374,2124.0,2162.0,2152.0,2147.0
1752496868882814082,2114.0,2163.0,2131.0,2137.0
1752496868905170249,2103.0,2158.0,2116.0,2131.0
1752496868925113498,2104.0,2165.0,2109.0,2127.0
1752496868946431999,2090.0,2149.0,2096.0,2119.0
1752496868968966832,2081.0,2170.0,2078.0,2122.0
1752496868992178248,2070.0,2152.0,2076.0,2114.0
1752496869011766623,2075.0,2145.0,2086.0,2108.0
1752496869062185415,2088.0,2117.0,2116.0,2093.0
1752496869074304749,2091.0,2114.0,2117.0,2090.0
1752496869095578582,2113.0,2101.0,2131.0,2070.0
1752496869117518207,2106.0,2104.0,2124.0,2073.0
1752496869139971165,2104.0,2117.0,2109.0,2076.0
1752496869158157915,2088.0,2122.0,2090.0,2075.0
1752496869271650082,2062.0,2109.0,2062.0,2065.0
1752496869274020748,2050.0,2119.0,2050.0,2070.0
1752496869278823832,2040.0,2124.0,2045.0,2073.0
1752496869279818082,2036.0,2117.0,2054.0,2085.0
1752496869282130373,2036.0,2111.0,2058.0,2083.0
1752496869287405707,2044.0,2117.0,2065.0,2083.0
1752496869310005624,2042.0,2106.0,2078.0,2083.0
1752496869327696832,2049.0,2098.0,2086.0,2076.0
1752496869348286165,2063.0,2106.0,2095.0,2078.0
1752496869370210998,2088.0,2124.0,2108.0,2086.0
1752496869393501290,2093.0,2145.0,2108.0,2109.0
1752496869414868665,2119.0,2175.0,2124.0,2134.0
1752496869436748957,2132.0,2186.0,2131.0,2135.0
1752496869482179790,2153.0,2199.0,2152.0,2152.0
1752496869483911707,2144.0,2217.0,2160.0,2180.0
1752496869500061498,2157.0,2216.0,2183.0,2186.0
1752496869521039415,2167.0,2208.0,2193.0,2175.0
1752496869543667498,2158.0,2221.0,2188.0,2188.0
1752496869564595582,2160.0,2216.0,2194.0,2185.0
1752496869585361748,2160.0,2216.0,2196.0,2183.0
1752496869606576457,2167.0,2214.0,2198.0,2176.0
1752496869630400623,2170.0,2219.0,2193.0,2173.0
1752496869651347998,2175.0,2224.0,2194.0,2175.0
1752496869670635957,2167.0,2229.0,2191.0,2181.0
1752496869724962874,2160.0,2235.0,2186.0,2185.0
1752496869726862998,2176.0,2219.0,2206.0,2167.0
1752496869737286332,2163.0,2212.0,2194.0,2165.0
1752496869758884998,2157.0,2216.0,2190.0,2173.0
1752496869781334957,2152.0,2222.0,2185.0,2176.0
1752496869802919165,2171.0,2221.0,2209.0,2173.0
1752496869822231457,2173.0,2221.0,2216.0,2178.0
1752496869844060415,2168.0,2234.0,2221.0,2198.0
1752496869863675082,2158.0,2253.0,2203.0,2208.0
1752496869891480874,2157.0,2260.0,2194.0,2209.0
1752496869915590998,2158.0,2260.0,2193.0,2211.0
1752496869931093832,2163.0,2250.0,2162.0,2160.0
1752496869951099498,2165.0,2216.0,2175.0,2134.0
1752496869977316874,2142.0,2194.0,2168.0,2132.0
1752496869996456123,2121.0,2185.0,2163.0,2135.0
1752496870021095999,2088.0,2163.0,2144.0,2126.0
1752496870045970082,2037.0,2170.0,2157.0,2109.0
1752496870062833582,2032.0,2175.0,2131.0,2104.0
1752496870083723749,2032.0,2173.0,2101.0,2090.0
1752496870103361415,2034.0,2170.0,2098.0,2093.0
1752496870122682123,2045.0,2150.0,2111.0,2081.0
1752496870143186957,2050.0,2145.0,2111.0,2081.0
1752496870186684499,2062.0,2157.0,2117.0,2091.0
1752496870191001790,2075.0,2163.0,2134.0,2103.0
1752496870205992999,2083.0,2176.0,2135.0,2117.0
1752496870227943623,2106.0,2199.0,2152.0,2127.0
1752496870317444498,2103.0,2203.0,2155.0,2122.0
1752496870324694915,2114.0,2222.0,2153.0,2134.0
1752496870326985915,2113.0,2212.0,2160.0,2140.0
1752496870327936832,2106.0,2217.0,2165.0,2134.0
1752496870336170665,2106.0,2214.0,2167.0,2139.0
1752496870356501415,2113.0,2217.0,2162.0,2131.0
1752496870383811582,2106.0,2206.0,2171.0,2140.0
1752496870396875374,2111.0,2214.0,2163.0,2135.0
1752496870418964790,2095.0,2198.0,2158.0,2126.0
1752496870442900748,2095.0,2196.0,2158.0,2129.0
1752496870465372415,2091.0,2201.0,2152.0,2127.0
1752496870486498832,2093.0,2196.0,2129.0,2122.0
1752496870507423082,2091.0,2193.0,2135.0,2117.0
1752496870533691498,2091.0,2193.0,2127.0,2114.0
1752496870550645540,2086.0,2181.0,2131.0,2113.0
1752496870569971332,2095.0,2183.0,2119.0,2116.0
1752496870610621957,2075.0,2167.0,2137.0,2134.0
1752496870616488707,2085.0,2168.0,2135.0,2126.0
1752496870632914082,2088.0,2167.0,2134.0,2117.0
1752496870653794207,2101.0,2175.0,2121.0,2108.0
1752496870676464290,2099.0,2180.0,2116.0,2111.0
1752496870699384748,2104.0,2185.0,2114.0,2103.0
1752496870717370498,2090.0,2167.0,2108.0,2091.0
