Time - milli sec,Voltage,Current,Remained Battery - Arbitrary,Consumed Current,Lidar Distance - in mm,Throttle,PWM Value
1419,0,0,0,0,0,0,0
1438,13.56,0.47,100,0,476,328,335
1524,13.56,0.35,100,0,488,328,335
1619,13.58,0.12,100,0,491,328,335
1713,13.34,0.94,100,0,488,328,335
1808,13.47,1.18,100,0,492,328,335
1903,13.58,0.12,100,0,490,328,335
1998,13.56,0.24,100,0,490,328,335
2093,13.58,0.12,100,0,489,1101,1127
2188,13.56,0.24,100,0,491,1101,1127
2283,13.56,0.59,100,0.01,488,1101,1127
2378,13.56,0.59,100,0.01,489,1101,1127
2473,13.54,0.47,100,0.01,490,1101,1127
2567,13.54,0.71,100,0.01,489,1101,1127
2662,13.54,0.35,100,0.01,488,1101,1127
2757,13.52,0.59,100,0.01,486,1101,1127
2852,13.52,0.59,100,0.01,487,1101,1127
2947,13.54,0.24,100,0.01,489,1101,1127
3042,13.54,0.71,100,0.01,488,1101,1127
3137,13.54,0.59,100,0.01,489,1101,1127
3232,13.58,0.24,100,0.01,489,1101,1127
3327,13.56,0.71,100,0.01,488,1101,1127
3421,13.56,0.12,100,0.01,488,1101,1127
3516,13.58,0.24,100,0.01,491,1101,1127
3611,13.54,0.47,100,0.01,488,1101,1127
3706,13.56,0.47,100,0.01,489,1101,1127
3801,13.54,0.59,100,0.01,487,1101,1127
3896,13.52,0.59,100,0.01,486,1101,1127
3991,13.54,0.59,100,0.01,487,1101,1127
4086,13.56,0.24,100,0.02,488,1101,1127
4181,13.56,0.59,100,0.02,489,1101,1127
4276,13.58,0.12,100,0.02,488,1101,1127
4371,13.54,0.59,100,0.02,489,1101,1127
4466,13.56,0.59,100,0.02,489,1101,1127
4560,13.58,0.24,100,0.02,490,1101,1127
4655,13.58,0.24,100,0.02,490,1101,1127
4750,13.56,0.47,100,0.02,488,1133,1159
4845,13.54,0.71,100,0.02,490,1140,1167
4940,13.58,0.12,100,0.02,489,1142,1169
5035,13.56,0.47,100,0.02,487,1158,1185
5130,13.58,0.24,100,0.02,488,1172,1199
5225,13.63,1.06,100,0.02,491,1184,1212
5320,13.49,2,100,0.02,491,1180,1208
5415,13.47,2.7,100,0.03,492,1179,1207
5510,13.51,2.35,100,0.03,489,1180,1208
5605,13.47,2.59,100,0.03,490,1182,1210
5700,13.51,2,100,0.03,488,1184,1212
5795,13.4,2.23,100,0.04,488,1199,1227
5889,13.56,2.47,100,0.04,489,1205,1233
5984,13.4,3.88,100,0.04,489,1209,1237
6079,13.42,3.29,100,0.05,491,1212,1240
6174,13.28,3.29,100,0.05,487,1216,1244
6269,13.47,3.29,100,0.05,491,1224,1253
6364,13.39,4.23,100,0.06,488,1229,1258
6459,13.42,3.88,100,0.06,492,1239,1268
6554,13.44,5.17,99.99,0.07,490,1241,1270
6649,13.46,4.58,99.99,0.07,491,1241,1270
6744,13.51,4.82,99.99,0.08,488,1252,1281
6839,13.34,5.29,99.99,0.09,489,1255,1284
6934,13.01,6.93,99.99,0.09,489,1259,1288
7029,12.92,6.35,99.99,0.1,489,1263,1292
7123,13.23,5.88,99.99,0.11,490,1263,1292
7218,13.34,6.7,99.99,0.11,493,1269,1299
7313,13.46,5.41,99.99,0.12,488,1269,1299
7408,13.34,6.11,99.99,0.13,491,1280,1310
7503,13.1,6.46,99.99,0.13,487,1286,1316
7598,13.08,7.52,99.99,0.14,491,1290,1320
7693,13.3,8.11,99.99,0.15,490,1298,1328
7788,13.06,7.52,99.99,0.16,491,1301,1331
7883,13.15,7.64,99.99,0.17,493,1304,1334
7978,13.2,8.34,99.99,0.18,491,1305,1335
8073,13.4,6.82,99.99,0.19,487,1305,1335
8168,13.15,8.11,99.99,0.19,493,1309,1340
8262,13.42,9.75,99.98,0.21,492,1316,1347
8357,13.01,8.58,99.98,0.21,489,1317,1348
8452,12.65,10.22,99.98,0.23,492,1318,1349
8547,12.94,9.52,99.98,0.24,492,1324,1355
8642,12.99,12.93,99.98,0.25,491,1324,1355
8737,13.16,9.17,99.98,0.26,492,1324,1355
8832,13.4,10.69,99.98,0.27,491,1325,1356
8927,13.27,10.93,99.98,0.29,492,1329,1360
9022,13.49,9.05,99.98,0.3,489,1331,1362
9117,13.04,9.64,99.98,0.31,490,1331,1362
9212,12.99,11.16,99.98,0.32,493,1334,1365
9307,13.25,10.46,99.97,0.33,491,1335,1366
9402,13.35,9.52,99.97,0.34,490,1336,1367
