Time (s),ESC signal (µs),Thrust (gf),Current (A),Torque (N·m),Voltage (V),Electrical Power (W),,,,,,,,,,,,,,,,,,,,,,,,,,,
62.78,1059.00,3.09091322,0.09,,15.71754024,1.367485845,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.88,1067.00,2.528021348,0.08,-0.03,15.71838177,1.326276971,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.938,1067.00,,0.08,,15.71841859,1.294441925,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.051995,1069.00,,0.227396097,-0.03,15.71,3.57206683,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.123995,1069.00,2.019149571,0.295013006,-0.03,15.70367186,4.63278744,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.180995,1069.00,,0.331489126,,15.70153421,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.257995,1069.00,1.725105879,0.363947364,-0.03,15.69898848,5.713605467,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.282,1069.00,,0.370222385,,15.69849608,5.811934665,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.349,1069.00,-2.86,0.38639902,,15.69766695,6.065563125,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.40,1072.00,,0.397762588,,15.69764826,6.243937203,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.49,1072.00,-9.05,0.399642816,-0.04,15.69700184,6.273194022,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.542995,1074.00,,0.400604788,,15.69619251,6.287969866,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.630995,1077.00,-12.65,0.413917615,-0.04,15.69481343,6.496359742,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.701,1077.00,,0.424403168,,15.69353267,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.757995,1079.00,,0.443382668,-0.04,15.69167503,6.957416735,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.889995,1082.00,-15.64,0.464383989,,15.69034184,7.286343539,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.965,1082.00,-17.70,0.481795793,-0.04,15.68944704,7.559109586,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.023995,1082.00,,0.498098221,,15.68832015,7.814324365,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.08,1082.00,,0.512380993,,15.68766765,8.038062729,,,,,,,,,,,,,,,,,,,,,,,,,,,
